event,sample
licks,3688.0
licks,3692.0
licks,3692.0
licks,3693.0
licks,3694.0
licks,3696.0
licks,3697.0
licks,3701.0
licks,3705.0
licks,3710.0
licks,3716.0
licks,3724.0
licks,3724.0
licks,3728.0
licks,3730.0
licks,3739.0
licks,3739.0
licks,3740.0
licks,3741.0
licks,3741.0
licks,3742.0
licks,3743.0
licks,3751.0
licks,3752.0
licks,3754.0
licks,3760.0
licks,3787.0
licks,3787.0
licks,3791.0
licks,3791.0
licks,3794.0
licks,3799.0
licks,3812.0
licks,3846.0
licks,3871.0
licks,4264.0
licks,4271.0
licks,4272.0
licks,4275.0
licks,4281.0
licks,4285.0
licks,4286.0
licks,4288.0
licks,4297.0
licks,4312.0
licks,4319.0
licks,4319.0
licks,4320.0
licks,4321.0
licks,4321.0
licks,4322.0
licks,4323.0
licks,4324.0
licks,4332.0
licks,4333.0
licks,4339.0
licks,4353.0
licks,4354.0
licks,4405.0
licks,4405.0
licks,4440.0
licks,4441.0
licks,4449.0
licks,4453.0
licks,4455.0
licks,4456.0
licks,4457.0
licks,4457.0
licks,4458.0
licks,4459.0
licks,4459.0
licks,4474.0
licks,4475.0
licks,4502.0
licks,4503.0
licks,4525.0
licks,4541.0
licks,4541.0
licks,4542.0
licks,4542.0
licks,4543.0
licks,4544.0
licks,4544.0
licks,4545.0
licks,4558.0
licks,4558.0
licks,4577.0
licks,4593.0
licks,4594.0
licks,4628.0
licks,4629.0
licks,4632.0
licks,5283.0
licks,5284.0
licks,5284.0
licks,5285.0
licks,5285.0
licks,5286.0
licks,5287.0
licks,5295.0
licks,5302.0
licks,5303.0
licks,5312.0
licks,5312.0
licks,5579.0
licks,5585.0
licks,5772.0
licks,5772.0
licks,5778.0
licks,5781.0
licks,5782.0
licks,5783.0
licks,5784.0
licks,5786.0
licks,5786.0
licks,5787.0
licks,5788.0
licks,5790.0
licks,5791.0
licks,5792.0
licks,5793.0
licks,5795.0
licks,5797.0
licks,5798.0
licks,5798.0
licks,5799.0
licks,5800.0
licks,5800.0
licks,5801.0
licks,5802.0
licks,5803.0
licks,5804.0
licks,5804.0
licks,5805.0
licks,5806.0
licks,5807.0
licks,5808.0
licks,5809.0
licks,5810.0
licks,5816.0
licks,5827.0
licks,5828.0
licks,5843.0
licks,5848.0
licks,5850.0
licks,5855.0
licks,5985.0
licks,5998.0
licks,6000.0
licks,6003.0
licks,6007.0
licks,6010.0
licks,6014.0
licks,6023.0
licks,6031.0
licks,6032.0
licks,6038.0
licks,6238.0
licks,6241.0
licks,6242.0
licks,6245.0
licks,6251.0
licks,6252.0
licks,6252.0
licks,6253.0
licks,6253.0
licks,6254.0
licks,6255.0
licks,6256.0
licks,6319.0
licks,6320.0
licks,6320.0
licks,6321.0
licks,6327.0
licks,6328.0
licks,6329.0
licks,6330.0
licks,6331.0
licks,6332.0
licks,6334.0
licks,6334.0
licks,6335.0
licks,6336.0
licks,6336.0
licks,6337.0
licks,6338.0
